1 Aarav 81 83 90 20 11 2002 
2 Aarush 85 58 81 27 3 2001 
3 Aayush 92 84 80 12 10 2002 
4 Avyaan 53 60 92 25 8 2002 
5 Advik 80 73 65 7 6 2001 
6 Akarsh 62 73 79 16 3 2001 
7 Anay 62 89 93 23 6 2003 
8 Atharva 82 86 69 14 11 2002 
9 Arhaan 68 61 74 3 6 2002 
10 Ahaan 90 69 72 10 3 2002 
11 Arnav 56 99 98 7 3 2002 
12 Adhrit 52 60 52 9 6 2002 
13 Aryaman 90 51 55 9 8 2001 
14 Bhaavik 76 77 59 10 12 2002 
15 Bhavin 90 89 94 4 1 2003 
16 Chitaksh 54 88 84 2 2 2002 
17 Daksh 63 83 88 13 9 2001 
18 Darshit 74 58 64 24 8 2002 
19 Devansh 56 62 62 18 10 2001 
20 Dhanuk 52 77 80 27 8 2001 
21 Dhairya 59 53 99 25 3 2001 
22 Divij 53 95 77 28 9 2001 
23 Divit 100 70 83 9 3 2001 
24 Divyansh 85 55 98 24 7 2002 
25 Ehsaan 51 85 88 21 6 2003 
26 Eeshan 59 95 59 2 9 2001 
27 Faiyaz 94 55 98 15 10 2003 
28 Farhan 82 100 94 17 5 2002 
29 Gatik 82 86 76 28 5 2001 
30 Gauransh 84 69 82 11 7 2003 
31 Hardik 52 84 98 11 7 2002 
32 Himmat 65 81 86 22 10 2003 
33 Hriday 93 100 91 19 11 2001 
34 Hridaan 88 92 100 4 10 2002 
35 Hunar 87 66 63 26 11 2001 
36 Ishir 87 58 81 9 2 2003 
37 Ikshit 57 99 89 27 11 2003 
38 Ishaan 73 83 53 23 4 2001 
39 Ivaan 99 98 97 2 8 2001 
40 Izaan 57 74 53 28 8 2003 
41 Jaiyush 90 81 73 4 1 2003 
42 Jivin 52 61 89 26 1 2001 
43 Kanav 62 52 58 11 6 2003 
44 Krishiv 83 95 71 7 4 2001 
45 Kiaan 87 87 52 23 4 2002 
46 Kushagra 53 64 69 27 5 2003 
47 Krish 98 69 52 10 5 2002 
48 Lakshay 69 57 54 20 3 2003 
49 Lauhit 98 81 69 15 9 2001 
50 Lakshit 94 58 87 21 8 2003 
51 Manan 54 86 65 14 8 2003 
52 Manav 81 86 61 20 11 2001 
53 Medhansh 60 71 57 8 9 2002 
